file,upstream_project,source_package,source_url,license,retrieval_date,sha256,notes
geist-latin.woff2,Geist,Next.js 16.2.12,https://registry.npmjs.org/next/-/next-16.2.12.tgz,SIL-OFL-1.1,2026-08-12,1b5ebfb3a01a97343ac96873e6d59a8cb285c66012b6a1ac509cb2765e995ba8,Unmodified Latin subset bundled in the exact locked Next.js package.
geist-mono-latin.woff2,Geist,Next.js 16.2.12,https://registry.npmjs.org/next/-/next-16.2.12.tgz,SIL-OFL-1.1,2026-08-12,b7ac144b394cbd81052d6397ec0c33397977b1d7e9bc095e744e652a378c6fb3,Unmodified Latin monospace subset bundled in the exact locked Next.js package.
