ecosystem,locked_path,package,version,license_expression,scope,disposition,notes
javascript,node_modules/react-is,react-is,17.0.2,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/redent,redent,3.0.0,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/reflect.getprototypeof,reflect.getprototypeof,1.0.10,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/regexp.prototype.flags,regexp.prototype.flags,1.5.4,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/require-from-string,require-from-string,2.0.2,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/resolve,resolve,2.0.0-next.7,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/resolve-from,resolve-from,4.0.0,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/resolve-pkg-maps,resolve-pkg-maps,1.0.0,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/reusify,reusify,1.1.0,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/rolldown,rolldown,1.2.3,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/run-parallel,run-parallel,1.2.0,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/safe-array-concat,safe-array-concat,1.1.4,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/safe-push-apply,safe-push-apply,1.0.0,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/safe-regex-test,safe-regex-test,1.1.0,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/saxes,saxes,6.0.0,ISC,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/scheduler,scheduler,0.27.0,MIT,runtime,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/semver,semver,6.3.1,ISC,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/set-function-length,set-function-length,1.2.2,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/set-function-name,set-function-name,2.0.2,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/set-proto,set-proto,1.0.0,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/sharp,sharp,0.35.0,Apache-2.0,runtime+optional,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/sharp/node_modules/semver,semver,7.8.5,ISC,runtime+optional,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/shebang-command,shebang-command,2.0.0,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/shebang-regex,shebang-regex,3.0.0,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/side-channel,side-channel,1.1.1,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/side-channel-list,side-channel-list,1.0.1,MIT,development,accepted,License metadata recorded in npm lockfile.
